Topic,Count,Name,Representation,Representative_Docs
66,49,66_votar_votos_voto_urna,"['votar', 'votos', 'voto', 'urna', 'boletas', 'ejercer', 'votacion', '1o', 'junio', 'candidatos']","[' quien va a participar este proximo 1o de junio para votar ', ' como es posible que el presidente de la corte hugo aguilar tenga mas votos que el pri por cierto y sea el de mayor numero de votos y el que le sigue tenga la mitad de los votos si hubiera habido un acordeon todos hubieran tenido el mismo numero de votos ', 'pero hay que ir a votar quien va a ir a votar el 1o de junio ']"
67,49,67_beca_secundaria_escuela_ninos,"['beca', 'secundaria', 'escuela', 'ninos', 'ninas', 'cetina', 'rita', 'primaria', 'preescolar', 'becas']","['las becas universales que ya son universales para todas las ninas y ninos de secundaria la beca rita cetina que ya tienen su beca el proximo ano nos vamos a todos los ninos y ninas de primaria y preescolar van a tener su beca universal todos los que vayan a escuela publica ', 'el segundo es las becas a todas las ninas y ninos que van a escuela publica a todas y a todos sin excepcion este ano ya cumplimos que todos los ninos de secundaria y ninas tienen la beca rita cetina y el proximo ano van a ser las ninas y los ninos todos que van a escuela publica de primaria y de preescolar ', 'el segundo es para los ninos y ninas de mexico es beca universal para todas las ninas y ninos que estudian en escuela publica este ano ya cumplimos con todas y todos los adolescentes de secundaria presidente lopez obrador le dio a los de preparatoria y hoy todos los adolescentes ninas y ninos de secundaria ya tienen su beca la beca rita cetina beca universal ']"
68,49,68_registro_desaparecidas_casos_carpeta,"['registro', 'desaparecidas', 'casos', 'carpeta', 'busqueda', 'curp', 'persona', 'desaparecida', 'datos', 'identificacion']","['ahora vamos a usar la clave unica de registro de poblacion la curp biometrica como una herramienta no solo de identidad sino de busqueda de desaparecidos o no localizados y se consolidara asi un nuevo modelo donde los estados juegan un papel muy importante ya que tienen registros civiles solo solicitamos mantener la informacion actualizada ', 'se ha atendido pero necesitamos atenderlo mas y para ello incluso necesitamos lo que menciono necesitamos modificar las leyes para que haya un solo registro porque en muchos de los registros ni siquiera hay los suficientes datos de las personas desaparecidas que estan registradas en la comision nacional de busqueda ', 'parte de las reformas que estamos planteando en el caso de desaparecidos fijense hay de acuerdo con la ley hay dos maneras en que un ministerio publico puede registrar el caso de una denuncia de una persona desaparecida una es por un registro sin abrir carpeta de investigacion y otra es abriendo carpeta de investigacion no se si sea este el caso pero lo revisamos con gusto para poder apoyarla ']"
69,48,69_lenguas_lengua_divulgador_bulmaro,"['lenguas', 'lengua', 'divulgador', 'bulmaro', 'indigenas', 'sanchez', 'nahuatl', 'juarez', 'indigena', 'hablantes']","['divulgador de lenguas indigenas bulmaro juarez sanchez con su permiso presidenta ', 'divulgador de lenguas indigenas bulmaro juarez sanchez con su permiso presidenta ', 'divulgador de lenguas indigenas bulmaro juarez sanchez con su permiso presidenta ']"
70,48,70_impuestos_imss_impuesto_pagan,"['impuestos', 'imss', 'impuesto', 'pagan', 'bienestar', 'aumento', 'empresarios', 'fiscales', 'dif', 'transfirieron']","['primero porque todas nuestras hermanas y hermanos alla ya pagan impuestos pagan impuesto por trabajar y pagan impuestos al consumir ', 'que si porque todos aumentaron impuestos eh impuestos en el pasado zedillo aumento impuestos fox aumento impuestos calderon aumento impuestos pena aumento impuestos y nunca tuvieron la recaudacion que hay ahora porque habia privilegios y corrupcion ', 'entonces esto es la gran mentira que tenemos que empezar a propagar porque claro que pagamos impuestos ademas del impuesto de las compras del impuesto de las casas del impuesto de la renta y todos los demas impuestos pero tambien como empleados pagamos impuestos ']"
71,47,71_maiz_frijol_transgenico_produccion,"['maiz', 'frijol', 'transgenico', 'produccion', 'arroz', 'siembra', 'biodiversidad', 'criollo', 'blanco', 'hibrido']","['el dia de hoy pues ya saben estamos como nos comprometimos dando el banderazo de salida el inicio de este nuevo programa para el campo que le llamamos cosechando soberania porque lo que queremos es aumentar la produccion en mexico de lo principal lo principal es lo que comemos los mexicanos maiz maiz criollo el maiz que viene del origen porque aqui en nuestro pais nacio el maiz y de aqui se fue a todos lados del mundo ', 'y tiene que ver principalmente con la proteccion del maiz que se siembra en mexico aunque tambien hay maiz hibrido en mexico que no es transgenico pero si depende de la compra de semilla y nosotros lo que queremos es fortalecer el maiz criollo que se recupere la siembra del maiz criollo y la proteccion del germoplasma que se llama que es la biodiversidad genetica ', 'el maiz es mexico por eso se dice sin maiz no hay pais ']"
72,46,72_aeropuerto_pasajeros_internacional_vuelo,"['aeropuerto', 'pasajeros', 'internacional', 'vuelo', 'felipe', 'angeles', 'vuelos', 'rutilio', 'aereo', 'destinos']","['llega al aeropuerto internacional felipe angeles lo recibe el canciller ', 'el general pastor director general del aeropuerto internacional felipe angeles nos viene a platicar de la cantidad de pasajeros que han viajado a traves de este hermoso aeropuerto a algunos les da coraje asi tremendo hermoso aeropuerto que gano el premio como uno de los aeropuertos mas bonitos del mundo ', 'bueno vamos al informe del aeropuerto internacional felipe angeles ']"
73,46,73_salario_minimo_inflacion_aumento,"['salario', 'minimo', 'inflacion', 'aumento', 'canastas', 'basicas', 'salarial', 'salarios', 'aumentan', 'aumentaba']","['numero 1 el aumento al salario minimo no se nos debe olvidar nunca que por 36 anos no aumento el salario minimo en nuestro pais ', 'o sea recuerden todo lo que se decia que si aumentaba el salario minimo iba a haber inflacion bueno aumento el salario minimo y no hubo inflacion y siguieron las inversiones ', 'uno como lo dije desde los primeros dias cuando anunciamos el incremento al salario minimo hoy estamos en que el salario minimo alcanza para comprar 1 8 canastas basicas nuestro objetivo es que alcance para 2 5 canastas basicas eso significa un aumento salarial sustantivo cada ano por encima de la inflacion y ademas ya quedo establecido que el salario minimo no puede o debe aumentar siempre por encima de la inflacion ']"
74,46,74_jovenes_futuro_construyendo_programa,"['jovenes', 'futuro', 'construyendo', 'programa', 'empleo', 'ocupacion', 'trabajo', 'destacar', 'queremos', 'participan']","['entonces sigue el programa jovenes construyendo el futuro sigue como un programa de construccion de paz de atencion a los jovenes que son el presente y el futuro de mexico ', 'que el programa de jovenes construyendo el futuro ya es parte de la constitucion de la republica ', 'el programa jovenes construyendo el futuro ya esta en la constitucion ']"
75,46,75_robledo_zoe_seguro_aburto,"['robledo', 'zoe', 'seguro', 'aburto', 'instituto', 'mexicano', 'social', 'director', 'general', 'imss']","['director general del instituto mexicano del seguro social imss zoe robledo aburto muchas gracias presidenta ', 'director general del instituto mexicano del seguro social imss zoe robledo aburto muchas gracias ', 'director general del instituto mexicano del seguro social imss zoe robledo aburto muchas gracias ']"
76,45,76_semiconductores_diseno_desarrollo_olinia,"['semiconductores', 'diseno', 'desarrollo', 'olinia', 'ciencia', 'innovacion', 'tecnologica', 'cientifico', 'kutsari', 'patentes']","['no solamente la instalacion de empresas que jalisco tambien tiene empresas de semiconductores muy importantes no solamente el traer las inversiones a mexico sino el desarrollo cientifico y tecnologico relacionado con los semiconductores ', 'ya hemos presentado el proyecto olinia y ahora presentamos este proyecto kutsari centro nacional de diseno de semiconductores ', 'uno es el sector de los semiconductores presidenta usted nos ha apoyado para tener el primer centro de diseno de semiconductores a nivel nacional que yo espero pronto ya le podamos presentar esta es una empresa muy importante en el desarrollo de semiconductores ']"
77,45,77_plan_polos_inversiones_mexico,"['plan', 'polos', 'inversiones', 'mexico', 'produccion', 'desarrollo', 'economia', 'economico', 'tenemos', 'hablamos']","['nosotros creemos que con el plan mexico y el plan de desarrollo que tenemos vamos a impulsar el crecimiento economico ', 'y el objetivo es el plan mexico que es la produccion nacional ', 'eso tiene que ver con el plan mexico ']"
78,45,78_maestros_educacion_maestras_universidad,"['maestros', 'educacion', 'maestras', 'universidad', 'escuela', 'universidades', 'profe', 'certificado', 'mexicana', 'escuelas']","['dejaron de construir universidades para que la gente se fuera a universidades privadas e igual esta bien que haya universidades privadas pero el gobierno debe garantizar educacion publica gratuita desde el preescolar hasta la universidad que cualquier joven que desee estudiar la universidad pueda estudiar la universidad eso tiene un nombre derecho es un derecho del pueblo de mexico la educacion ', 'presidenta de mexico claudia sheinbaum pardo son las maestras y los maestros ', 'nuestros jovenes de 15 anos contaran con un espacio educativo creativo incluyente cientifico y humanista en el marco de la nueva escuela mexicana a partir de este ciclo escolar recibiran un certificado de bachillerato nacional en modalidad general o tecnica por parte de la secretaria de educacion publica y tambien cuando se graduen del bachillerato nacional un certificado de alguna institucion publica de educacion superior en su diseno participaron maestras maestros y estudiantes ']"
79,44,79_marina_raymundo_pedro_morales,"['marina', 'raymundo', 'pedro', 'morales', 'almirante', 'angeles', 'mar', 'secretario', 'capitan', 'navio']","['almirante raymundo pedro morales angeles secretario de marina ', 'almirante raymundo pedro morales angeles secretario de marina ', 'almirante raymundo pedro morales angeles secretario de marina ']"
80,43,80_puerto_puertos_manzanillo_mar,"['puerto', 'puertos', 'manzanillo', 'mar', 'oceano', 'buques', 'marina', 'ensenada', 'oceanos', 'ultramar']","['con la secretaria de marina anunciamos ya el inicio de trabajos para la ampliacion del puerto de manzanillo y tambien del puerto progreso mejoraremos ademas los de ensenada lazaro cardenas acapulco seybaplaya y veracruz ', '85 mexico tiene todo para consolidarse como una potencia portuaria y de cabotaje con inversion publica y privada ademas de consolidar salina cruz se ampliaran los puertos de punta colonet punta libertad y guaymas sonora laguna de cuyutlan en manzanillo lazaro cardenas michoacan puerto chiapas progreso yucatan ceiba playa campeche tuxpan veracruz altamira y puerto del norte en matamoros tamaulipas ', 'los puertos son o cabotaje es decir que se transporta de un puerto mexicano a otro puerto mexicano o de exportacion o de importacion o de desarrollo turistico ']"
81,43,81_corrupcion_cero_inai_infonavit,"['corrupcion', 'cero', 'inai', 'infonavit', 'organismos', 'corruptos', 'transparencia', 'erradicar', 'combatir', 'pagos']","['fortalecer la institucion para erradicar la corrupcion y que los trabajadores tengan la certeza de que van a recibir creditos de viviendas que se van a construir y que deje de haber estos esquemas de corrupcion que pueda entrar a auditar la auditoria superior de la federacion al infonavit y que haya transparencia porque lo que no hay y es principalmente por esta participacion al mismo nivel de las direcciones generales de los trabajadores y de los empresarios que no todos obviamente pero en muchisimos de los casos terminan en actos de corrupcion ', 'entonces corruptelas no eso si no y tampoco en la compra de medicamentos van a regresar aquellas empresas que compraban todo para eso hay transparencia entonces cero corrupcion esa es una manda del pueblo de mexico para todos los que somos de la cuarta transformacion cero corrupcion transparencia que ayuda a evitar la corrupcion ', 'corrupcion de funcionarios del infonavit ']"
82,43,82_pardo_sheinbaum_claudia_celac,"['pardo', 'sheinbaum', 'claudia', 'celac', 'todavia', 'presidenta', 'mexico', 'proxima', 'reunion', 'esperar']","['presidenta de mexico claudia sheinbaum pardo fijense que todavia tengo con juan ramon el tema es el tiempo porque vamos a participar en la primera ponencia o la primera reunion que es sobre pobreza la segunda es sobre organismos internacionales el fortalecimiento de naciones unidas y su papel en la construccion para la paz entonces queda muy poco tiempo y ahi todavia esta ahi juan ramon ajustando los horarios ', 'presidenta de mexico claudia sheinbaum pardo podria ser podria ser por lo pronto en terminos de la cumbre con celac lo esta viendo el presidente petro para ver las fechas y cuando seria y la sede tambien nosotros podriamos poner mexico como la sede pero esta a definirse ', 'presidenta de mexico claudia sheinbaum pardo ahora viene la reunion de la celac creo que es el 9 no se que dia es estamos tengo pendiente una llamada con la presidenta de honduras porque pasa la presidencia de la celac de xiomara castro al presidente petro ']"
83,42,83_salud_sistema_acceso_derecho,"['salud', 'sistema', 'acceso', 'derecho', 'cofepris', 'mexicano', 'mexicana', 'imss', 'mercancia', 'medicamentos']","['durante ese periodo corrupcion privilegios se gobernaba para unos cuantos quisieron convertir el acceso a la salud en una mercancia incluso se pagaba para ir a un hospital publico o a un centro de salud publico pero ahora con la cuarta transformacion el acceso a la salud no es una mercancia no es un privilegio es un derecho del pueblo de mexico establecido en el 4o constitucional ', 'y lo mismo es el acceso a la salud publica la salud publica no es una mercancia que solamente el que pueda pagar tenga acceso no es un privilegio para ningun mexicano o mexicana el acceso a la salud publica es un derecho constitucional establecido en el articulo 4o y a los gobiernos nos corresponde garantizar ese acceso a la salud ', 'el derecho al acceso a la salud que vamos poco a poco pero estamos dedicados en cuerpo y alma para poder brindar un buen sistema de salud al pueblo de mexico gratuito de calidad que permita que no importa que enfermedad tenga un mexicano o mexicana se le atendera de la mejor forma con todos los medicamentos gratuitos eso significa derecho a la salud ']"
84,40,84_trump_usted_donald_critica,"['trump', 'usted', 'donald', 'critica', 'postura', 'mexicanos', 'presidente', 'carta', 'entra', 'diciendo']","['presidenta creo que con su carta a donald trump queda claro que en mexico se ha cambiado aqui mismo en donde a donald trump se le pusieron de tapete con mucho respeto lo digo cuando enrique pena nieto gobernaba este pais usted hace una respuesta contundente a las amenazas de donald trump ', 'y lo digo porque ya tambien en la camara de senadores parte de la oposicion no toda hay una parte que esta cerrando filas con usted frente a esta postura mexicana a la clara carta que nos leyo el dia de ayer aqui presente pero hay una parte de la oposicion que incluso se pone del lado de donald trump en temas argumentativos atacando en este caso a usted como presidenta y como la postura de mexico ', 'cuando se hace una critica desde la parte genuina siempre se dice que se le esta haciendo el juego a la derecha y ejemplo de eso fue lo que paso justamente con el tema de andrea chavez porque el monero hernandez que es uno de los mejores caricaturistas de este pais y que es afin a este gobierno cuando ejercio la critica contra andrea chavez diciendo que su autopromocion era inmoral recibio un linchamiento mediatico diciendo que ya se habia corrompido que ya le estaba haciendo el juego a la derecha ']"
85,40,85_investigacion_investigaciones_estudio_carpeta,"['investigacion', 'investigaciones', 'estudio', 'carpeta', 'paralelo', 'tope', 'analisis', 'previas', 'pruebas', 'investigando']","['la metodologia analitica fue muy similar a la del primer estudio se denomina cromatografia de gases acoplado a espectrometria de masas que nos permite no solo identificar con alta presion que molecula es la que estamos identificando en el laboratorio sino tambien su concentracion y las concentraciones de esta sustancia rebasan lo senalado en normas internacionales de exposicion a este tipo de compuestos ', ' que hace con esa carpeta de investigacion una vez que tiene las pruebas ', 'derivado de lo anterior es que se desarrollo un protocolo de investigacion conjuntamente con un centro de investigacion del conahcyt el cideteq de queretaro cuyos investigadores tienen una amplia experiencia en el analisis de este tipo de muestras ']"
86,40,86_neoliberal_36_1982_periodo,"['neoliberal', '36', '1982', 'periodo', 'gobiernos', 'arriba', 'abajo', 'modelo', 'neoliberalismo', '2018']","['durante todo el periodo que llamamos el periodo neoliberal que en mexico fue de 1982 al 2018 los gobiernos se dedicaron a servir a los de arriba y habia una teoria economica que incluso fue escrita que decia que si se llegaban arriba los recursos algun dia iban a bajar y se demostro que eso es falso que cuando se apoya al de mas arriba nunca llega abajo al contrario se lo quedan todo no se distribuye en cambio cuando se apoya desde abajo no solamente hay menos pobreza no solamente hay bienestar sino que se apoya a toda la economia ', 'y despues vino un periodo llamado periodo neoliberal tiempo despues que fue de 1982 al 2018 36 anos del periodo neoliberal ', 'se separo el poder economico del poder politico durante anos 36 anos de un modelo que empobrecio al pueblo llamado el modelo neoliberal que fue desde 1982 hasta el 2018 los gobiernos vieron a los de arriba y los meros de arriba decidieron que el gobierno era de ellos ']"
87,40,87_paz_desarme_causas_senderos,"['paz', 'desarme', 'causas', 'senderos', 'construir', 'violencia', 'conflictos', 'ausencia', 'desamor', 'amor']","[' si al desarme si a la paz es una accion comunitaria que alienta a los participantes a construir un futuro mejor y un pais en paz lo que contribuye a eliminar las violencias merece todos los esfuerzos ', 'por eso en esta ciudad pensamos que construir cultura de paz es construir justicia en la ciudad que construir senderos de paz en la ciudad significa tambien cultura deporte y atencion a las causas justas que provocan las desigualdades ', ' si al desarme si a la paz ']"
88,40,88_voz_mujer_gobierno_ilicito,"['voz', 'mujer', 'gobierno', 'ilicito', 'armamento', 'seguridad', 'transportes', 'mexico', 'comunicaciones', 'estrategia']","['voz de mujer gobierno de mexico ', 'voz de mujer gobierno de mexico ', 'voz de mujer gobierno de mexico ']"
89,40,89_pobreza_pobres_primero_desigualdad,"['pobreza', 'pobres', 'primero', 'desigualdad', 'disminuye', 'bien', 'todos', 'principio', 'ingreso', 'demostro']","['asi que se demostro que por el bien de todos primero pobres ayuda al que menos tiene disminuye la pobreza disminuye la desigualdad y ademas a todos les va mejor ', 'el primero por el bien de todos primero los pobres ', 'entonces por el bien de todos primero los pobres ']"
90,40,90_soberano_pueblo_independiente_libre,"['soberano', 'pueblo', 'independiente', 'libre', 'pais', 'libertad', 'partido', 'mexico', 'somos', 'siempre']","['mexico es un pais libre independiente y soberano ', 'mexico mexico es un pais libre soberano independiente ', 'mexico es un pais libre soberano independiente ']"
91,39,91_ciudad_investigacion_fiscalia_delito,"['ciudad', 'investigacion', 'fiscalia', 'delito', 'existe', 'informacion', 'colaboracion', 'autoridades', 'extradicion', 'unidos']","['imaginense ustedes una persona todavia en algunos codigos esta asi por ejemplo en la ciudad de mexico nosotros lo cambiamos de inmediato cuando llegamos a la ciudad para que si una persona se reporta desaparecida de inmediato se despliegue todas fuerzas policiales de la fiscalia incluso otras instituciones por ejemplo en todo el territorio esta la secretaria de bienestar y dice bueno hay una persona que no esta localizada pues todos entre todas las instituciones se busca en las primeras horas ', 'en la ciudad de mexico en un trabajo coordinado con las autoridades de la ciudad de mexico la fiscalia general de justicia de la ciudad de mexico y la policia de la ciudad de mexico se cumplimentaron ordenes de aprehension contra una celula delictiva contra dos hombres vinculados con extorsion agravada y asociacion delictuosa ', ' esto quiere decir fijense lo asevera eh el articulo de riva palacio llanamente que si hay operaciones de espionaje sobre territorio mexicano de donde lo saca contrario a lo que aseguraron la presidenta y el secretario de la defensa no hay ninguna operacion ilicita y es parte de una colaboracion y una coordinacion que existe desde hace anos en nuestro pais y muchos de estos vuelos son a peticion del gobierno de mexico para solicitar tecnologias que mexico puede no tener y que se hicieron con el conocimiento y autorizacion del gobierno o sea como si nosotros hubieramos permitido la vulneracion de nuestra soberania y no fuera parte de un protocolo de colaboracion que en publico afirman que no permitiran tales acciones ']"
92,39,92_informacion_datos_4783_buzon,"['informacion', 'datos', '4783', 'buzon', 'gob', '368', 'toda', 'actualizar', 'mx', 'sistemas']","['bueno esta informacion es importante para todas y para todos ', 'de ahi que sea muy importante insistir en nuestra campana de actualizacion de datos les pedimos a todas y a todos nuestros acreditados que puedan actualizar datos desde nuestro portal fovissste gob mx o llamando y escribiendo al 800 368 4783 repito 800 368 4783 ', 'pues esta es la informacion ']"
93,39,93_indigenas_pueblos_comunidades_afromexicanas,"['indigenas', 'pueblos', 'comunidades', 'afromexicanas', 'presupuesto', 'directo', 'sujetos', '2o', 'constitucional', 'anexo']","['bueno este ano tambien aqui veo amigos amigas de los pueblos indigenas por primera vez los pueblos originarios recibieron presupuesto directo presupuesto directo ahora todas las comunidades indigenas y afromexicanas mas de 20 mil comunidades por primera vez en la historia estan recibiendo un presupuesto que en las propias asambleas deciden para que lo van a utilizar ', 'la otra accion muy importante que hicimos este ano por primera vez es que todas las comunidades indigenas y afromexicanas del pais recibieron por primera vez presupuesto directo presupuesto directo del gobierno federal eso es porque cambio la constitucion el articulo 2o ya dice que todos los pueblos originarios son sujetos de derecho publico asi es ', 'y finalmente que es el tema que nos ocupa el dia de hoy es la asignacion de presupuesto directo a pueblos y comunidades indigenas y afromexicanas como lo ha dicho nuestra presidenta esto tiene ahora una base constitucional como ustedes saben ahora se ha reconocido en nuestra constitucion a los pueblos y comunidades indigenas como sujetos de derecho publico con personalidad juridica y patrimonio propio ']"
94,38,94_democracia_libertad_pueblo_autoritarismo,"['democracia', 'libertad', 'pueblo', 'autoritarismo', 'libertades', 'somos', 'autoritario', 'represion', 'ni', 'dicen']","['ya andan diciendo los que no son de nuestro movimiento los adversarios politicos y luego algunos intelectuales que se creen muy inteligentes que dicen eso es autoritarismo autoritarismo son gobiernos que no permiten ni libertades ni democracia ni libertad de expresion ni libertad de reunion como va a ser autoritario que el pueblo decida ', 'y ahi comenzo la democracia porque si no no hubiera habido democracia en nuestro pais ', 'presidenta claudia sheinbaum pardo lo que hay en el pais es democracia dicen que no es suficiente decir la frase de lincoln que dice que la democracia es el poder del pueblo por el pueblo y para el pueblo pero en el pais hay democracia y hay libertades la gente puede manifestarse hay libertad de prensa hay libertad de expresion hay libertad de reunion hay libertad de manifestacion hay libertad para poder debatir hay libertades y no hay pensamiento unico no hay nosotros no pedimos que todo mundo piense como la presidenta imaginense seria eso seria dictadura lo que hay es un 60 por ciento de los votantes que votaron por una opcion por un proyecto de gobierno por un proyecto de nacion mas alla de un proyecto de gobierno ']"
95,38,95_efrain_morales_comision_director,"['efrain', 'morales', 'comision', 'director', 'agua', 'conagua', 'lopez', 'general', 'nacional', 'subdirector']","['el director general de la comision nacional del agua efrain morales lopez ', 'el director general de la comision nacional del agua efrain morales lopez ', 'el director general de la comision nacional del agua efrain morales lopez ']"
96,37,96_transportes_esteva_comunicaciones_medina,"['transportes', 'esteva', 'comunicaciones', 'medina', 'jesus', 'infraestructura', 'antonio', 'secretario', 'maestro', 'senora']","['el secretario de infraestructura comunicaciones y transportes jesus antonio esteva medina ', 'el secretario de infraestructura comunicaciones y transportes jesus antonio esteva medina ', 'el secretario de infraestructura comunicaciones y transportes jesus antonio esteva medina ']"
97,37,97_ambiente_climatico_medio_huracan,"['ambiente', 'climatico', 'medio', 'huracan', 'ibarra', 'ambiental', 'naturales', 'barcena', 'alicia', 'cambio']","['moderador maestra alicia barcena ibarra secretaria de medio ambiente y recursos naturales ', 'secretaria de medio ambiente y recursos naturales alicia barcena ibarra con su permiso senora presidenta ', 'la secretaria del medio ambiente y recursos naturales doctora alicia barcena ibarra ']"
98,36,98_doctor_sheinbaum_claudia_hospitales,"['doctor', 'sheinbaum', 'claudia', 'hospitales', 'pardo', 'doctora', 'salud', '1000', 'medico', 'kershenobich']","['presidenta de mexico claudia sheinbaum pardo doctor kershenobich ', 'presidenta de mexico claudia sheinbaum pardo gracias doctor ', 'presidenta de mexico claudia sheinbaum pardo doctor ']"
99,35,99_pardo_sheinbaum_claudia_presidenta,"['pardo', 'sheinbaum', 'claudia', 'presidenta', 'convertidos', 'mexico', 'influye', 'aparte', 'generales', 'campanita']","['presidenta de mexico claudia sheinbaum pardo benito juarez melchor ocampo esos liberales patriotas dice paco taibo poetas convertidos en generales abogados convertidos en generales que separaron la iglesia del estado y tambien lucharon contra la intervencion francesa logrando la segunda independencia de mexico ', 'presidenta de mexico claudia sheinbaum pardo en donde es la ', 'presidenta de mexico claudia sheinbaum pardo de donde ']"
100,35,100_agua_potable_valle_metropolitana,"['agua', 'potable', 'valle', 'metropolitana', 'riego', 'drenaje', 'hidalgo', 'plan', 'zona', 'oriente']","['en cuanto a la zona oriente del estado de mexico es un proyecto que estamos realizando con el gobierno del estado con 10 municipios que contemplan inversiones conjuntas se traduce en 101 acciones que van a repercutir sobre todo en el abasto de agua potable y acciones de drenaje hay algunos elementos muy importantes como la obra que se esta realizando ya actualmente en chalco que nos va a ayudar a evitar inundaciones en el futuro y tambien esta ya en proceso la rehabilitacion y construccion de algunas obras en ecatepec para dotar de agua potable a la poblacion ', 'y hay un plan integral para el valle de mexico que es parte tambien del oriente los recursos se van a depositar en un fideicomiso que existe desde hace muchos anos para la zona metropolitana del valle de mexico que es el fideicomiso 1928 ahi son recursos que vienen del estado de mexico y de la ciudad y recursos adicionales que van a llegar de los municipios y con ese recurso queda establecido claramente para que obras se va a desarrollar obras de agua potable y de saneamiento ', 'el norte del pais sufre una escasez de agua muy importante y por eso ahi vamos a concentrar una parte importante de las obras pero tambien la zona metropolitana del valle de mexico tiene un estres hidrico incluido el estado de hidalgo y tenemos un plan ya integral para poder mejorar la calidad y el abastecimiento de agua para estas zonas ']"
101,35,101_david_kershenobich_stalnikowitz_secretario,"['david', 'kershenobich', 'stalnikowitz', 'secretario', 'salud', 'doctor', 'practica', 'eminencia', 'medico', 'internacionalmente']","['el secretario de salud david kershenobich ', 'el secretario de salud david kershenobich ', 'el secretario de salud david kershenobich stalnikowitz ']"
102,35,102_manero_gertz_alejandro_fiscal,"['manero', 'gertz', 'alejandro', 'fiscal', 'republica', 'general', 'comenzamos', 'extradicion', 'solicitud', 'agrario']","['fiscal general de la republica alejandro gertz manero buenos dias ', 'fiscal general de la republica alejandro gertz manero gracias a usted ', 'fiscal general de la republica alejandro gertz manero si como no ']"
103,35,103_medica_clinica_enfermeria_medicina,"['medica', 'clinica', 'enfermeria', 'medicina', 'clinico', 'atencion', 'medico', 'salud', 'cuidados', 'familiar']","['si en el mismo sentido hay cinco estrategias que se han llevado a cabo en el seguro social sobre todo para la consulta de medicina familiar el medico medica familiar que atiende varios padecimientos la consulta tambien preventiva ', 'entonces vamos a empezar con el primero que es el expediente clinico electronico aqui es importante aclararle a quienes nos ven que es el expediente clinico electronico cada vez que vamos a un consultorio y nos atiende un medico o una medica realiza un interrogatorio todos aqui yo creo que en algun momento de nuestras vidas hemos estado en esa situacion el medico o la medica necesita tener acceso inmediato a la historia completa del paciente necesita conocer sus antecedentes necesita conocer si ha tenido alergias si tiene alguna alergia cuales son los medicamentos que esta tomando o que ha tomado en el pasado alguna prueba de laboratorio que le hayan realizado si le hicieron en algun momento una cirugia si tuvo un ingreso hospitalario y que ocurrio en ese ingreso hospitalario si tuvo que llegar a urgencias en algun momento ', 'como vemos aqui las que tienen mayor demanda son medicina familiar el primer nivel de atencion la parte preventiva que es la columna vertebral de nuestro sistema de salud la medicina de urgencias anestesiologia cirugia general ginecobstetricia medicina interna y otras que son menos las contrataciones pero son importantes tambien porque son subespecialidades ']"
104,34,104_preguntas_pasamos_aca_contestamos,"['preguntas', 'pasamos', 'aca', 'contestamos', 'bueno', 'vamos', 'ahora', 'luego', 'si', 'amparar']","['bueno vamos con las preguntas ', 'bueno vamos a las preguntas ', 'bueno vamos a las preguntas ']"
105,34,105_consulados_consulado_paisanos_canciller,"['consulados', 'consulado', 'paisanos', 'canciller', 'consules', 'legal', 'apoyo', 'algunos', 'embajadores', 'nuestros']","['todo eso depende del instituto nacional electoral que se hace a traves de los consulados que es la mejor via para hacerlo no depende directamente de la secretaria de relaciones exteriores los consulados prestan su espacio para que el ine lo pueda hacer ', 'y la otra pues es todo el fortalecimiento a los consulados que tambien estamos trabajando ', 'lo segundo el apoyo que tenemos que darles a nuestros connacionales con los consulados por eso la simplificacion administrativa el apoyo legal que deban tener el que sientan que en los consulados estan con ellos que no los vamos a dejar solos o solas en ningun momento ']"
106,34,106_ley_leyes_reglamento_amparo,"['ley', 'leyes', 'reglamento', 'amparo', 'cambios', 'tombola', 'fortalecen', 'observaciones', 'abuso', 'federacion']","['entonces eso tiene objetivo ese es el objetivo de las cuatro leyes que se presentaron y la ley de amparo esta en esa perspectiva ', 'pregunta bien presidenta ya finalmente en otro tema el presidente de la jucopo en la camara de diputados anuncio que habra una nueva ley de juegos y sorteos que esta data de 1946 un reglamento que ya no sirve ya no funciona y que con este nuevo reglamento se podria combatir la corrupcion evitar las extorsiones y asi de esa manera habra una mejor recaudacion fiscal igualmente mejorar la situacion laboral de quienes trabajan ahi ', 'en este caso de la ley nacional que presento pepe es muy importante las leyes generales o las leyes nacionales orientan a las leyes estatales es decir los estados tienen que hacer los cambios en sus leyes estatales para poder cumplir con lo que dice la ley nacional o una ley general ']"
107,34,107_ver_preguntado_pardo_sheinbaum,"['ver', 'preguntado', 'pardo', 'sheinbaum', 'claudia', 'moscas', 'aca', 'companera', 'presidenta', 'quien']","['presidenta de mexico claudia sheinbaum pardo a ver ', 'presidenta de mexico claudia sheinbaum pardo a ver ', 'presidenta de mexico claudia sheinbaum pardo a ver ']"
108,34,108_voz_mujer_proyeccion_video,"['voz', 'mujer', 'proyeccion', 'video', 'seccion', 'terremoto', 'mujeres', 'historia', 'lleno', 'servicios']","['voz mujer la clinica es nuestra 2025 es una realidad ', 'voz de mujer servicios publicos de salud para todas las personas en todos los lugares ', 'voz mujer estamos con ustedes ']"
